;ERR525715;ERR525719;ERR525724;ERR525728;ERR525732
Bacteroides dorei;;;;;0.602347472698
Bacteroides fragilis;;0.74520323535;0.883683634049;;
Bacteroides ovatus;;;;;0.644525044436
Bacteroides thetaiotaomicron;;;;;0.483496482507
Bacteroides vulgatus;;;;0.608208250498;0.553095520973
Bifidobacterium adolescentis;;;;0.514765144658;0.247097621673
Bifidobacterium bifidum;;;;;0.405042312536
Bifidobacterium breve;;0.290159232765;;;
Bifidobacterium longum;;0.421582546483;;0.546392824694;0.269095579734
Enterococcus faecalis;0.545141326163;0.477267075294;;;
Escherichia coli;0.375242537788;0.361276697429;;0.470161733423;0.410736912717
Parabacteroides distasonis;;0.669920232032;;;0.397428041907
Shigella boydii;0.565630966738;0.407029647256;;0.490609824748;0.610413197666
Shigella dysenteriae;0.53272583493;0.734592930414;;0.670773857203;0.91358377367
Shigella flexneri;0.58643014946;0.69583129734;;0.831786361755;0.755187414194
Shigella sonnei;0.599732864434;0.590915281648;;0.597020029513;0.507798291569
Staphylococcus capitis;0.253580392069;;;;
Staphylococcus epidermidis;0.167769565852;;;;0.328193147331
Staphylococcus lugdunensis;0.244064086018;;;;
Streptococcus pseudopneumoniae;;;;;0.838832770071
Streptococcus salivarius;0.719280787476;0.582800978768;;;0.758597748355
Veillonella parvula;0.231927018681;;;;
